,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Number_of_Trainees
0,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,937
1,2021,Riyadh,King Fahad Medical City in Riyadh,816
2,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,789
3,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,714
4,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,702
5,2021,Riyadh,King Saud Medical City in Riyadh,640
6,2021,Riyadh,Medical City of King Saud University in Riyadh,620
7,2020,Riyadh,King Fahad Medical City in Riyadh,620
8,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,594
9,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,585
10,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,539
11,2020,Riyadh,King Saud Medical City in Riyadh,514
12,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,499
13,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,489
14,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,477
15,2020,Riyadh,Medical City of King Saud University in Riyadh,476
16,2019,Riyadh,King Fahad Medical City in Riyadh,469
17,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,466
18,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,463
19,2021,Abha,General Directorate of Health Affairs in Aseer Region,456
20,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,420
21,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,375
22,2019,Riyadh,King Saud Medical City in Riyadh,361
23,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,360
24,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,353
25,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,347
26,2019,Riyadh,Medical City of King Saud University in Riyadh,345
27,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,342
28,2021,Riyadh,Security Forces Hospital in Riyadh,335
29,2020,Abha,General Directorate of Health Affairs in Aseer Region,331
30,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,327
31,2021,Jazan,General Directorate of Health Affairs in Jazan Region,324
32,2018,Riyadh,King Fahad Medical City in Riyadh,320
33,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,318
34,2021,Khobar,King Fahd University Hospital in Khobar,316
35,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,285
36,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,284
37,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,282
38,2021,Jeddah,King Fahd General Hospital in Jeddah,276
39,2020,Riyadh,Security Forces Hospital in Riyadh,264
40,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,256
41,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,251
42,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,248
43,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,246
44,2020,Jazan,General Directorate of Health Affairs in Jazan Region,244
45,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,242
46,2020,Khobar,King Fahd University Hospital in Khobar,242
47,2021,Makkah,King Abdullah Medical City in the Holy Capital,237
48,2018,Riyadh,Medical City of King Saud University in Riyadh,237
49,2019,Abha,General Directorate of Health Affairs in Aseer Region,235
50,2018,Riyadh,King Saud Medical City in Riyadh,228
51,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,220
52,2019,Riyadh,Security Forces Hospital in Riyadh,206
53,2020,Jeddah,King Fahd General Hospital in Jeddah,202
54,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,198
55,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,196
56,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,194
57,2021,Dammam,King Fahd Specialist Hospital in Dammam,194
58,2021,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,191
59,2021,Madinah,King Fahd Hospital in Medina,190
60,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,189
61,2021,Makkah,Alnoor Specialist Hospital in Mecca,186
62,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,185
63,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,183
64,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,182
65,2017,Riyadh,King Fahad Medical City in Riyadh,181
66,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,179
67,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,179
68,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,178
69,2019,Khobar,King Fahd University Hospital in Khobar,177
70,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,171
71,2021,Alqatif  ,AlQatif Central Hospital,168
72,2021,Dammam,Dammam Medical Complex,161
73,2021,Jeddah,The program of the Ministry of Health in Jeddah,161
74,2019,Jazan,General Directorate of Health Affairs in Jazan Region,160
75,2020,Makkah,King Abdullah Medical City in the Holy Capital,159
76,2018,Abha,General Directorate of Health Affairs in Aseer Region,159
77,2021,Jeddah,East Jeddah Hospital in Jeddah,153
78,2021,Najran,General Directorate of Health Affairs in Najran Region,153
79,2020,Jeddah,The program of the Ministry of Health in Jeddah,152
80,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,149
81,2018,Riyadh,Security Forces Hospital in Riyadh,149
82,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,148
84,2021,Hofuf,King Fahad Hospital in Hofuf,144
85,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,142
86,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,142
87,2021,Taif,King Faisal Medical Complex in Taif,141
88,2016,Riyadh,King Fahad Medical City in Riyadh,139
89,2019,Jeddah,King Fahd General Hospital in Jeddah,139
90,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,139
91,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,138
92,2021,Jeddah,King Abdulaziz Hospital in Jeddah,137
93,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,137
94,2022,Riyadh,Medical City of King Saud University in Riyadh,135
95,2020,Madinah,King Fahd Hospital in Medina,134
96,2020,Makkah,Alnoor Specialist Hospital in Mecca,133
97,2020,Alqatif  ,AlQatif Central Hospital,131
98,2021,Madinah,Maternity and Children Hospital in Medina,130
99,2020,Dammam,King Fahd Specialist Hospital in Dammam,130
100,2021,Dammam,Eastern Health Cluster,130
101,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,130
102,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,129
103,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,129
104,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,129
105,2017,Riyadh,Medical City of King Saud University in Riyadh,128
106,2022,Riyadh,King Fahad Medical City in Riyadh,125
107,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,124
108,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,123
109,2020,Dammam,Dammam Medical Complex,121
110,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,121
111,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,119
112,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,119
113,2018,Khobar,King Fahd University Hospital in Khobar,119
114,2019,Makkah,King Abdullah Medical City in the Holy Capital,118
115,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,117
116,2021,Riyadh,Riyadh Second Health Cluster,114
117,2021,Jeddah,International Medical Center in Jeddah,113
118,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,113
119,2020,Jeddah,East Jeddah Hospital in Jeddah,113
120,2021,Taif,King Abdulaziz Specialist Hospital in Taif,112
121,2020,Hofuf,King Fahad Hospital in Hofuf,110
122,2021,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,110
123,2019,Makkah,Alnoor Specialist Hospital in Mecca,107
124,2019,Jeddah,The program of the Ministry of Health in Jeddah,106
126,2019,Madinah,King Fahd Hospital in Medina,103
127,2021,Jeddah,King Abdullah Medical Complex in Jeddah,103
128,2020,Jeddah,King Abdulaziz Hospital in Jeddah,103
129,2020,Taif,King Faisal Medical Complex in Taif,103
130,2019,Alqatif  ,AlQatif Central Hospital,102
131,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,102
132,2020,Dammam,Eastern Health Cluster,101
133,2022,Riyadh,Riyadh Second Health Cluster,100
134,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,100
135,2020,Najran,General Directorate of Health Affairs in Najran Region,100
136,2020,Madinah,Maternity and Children Hospital in Medina,99
137,2021,Riyadh,King Khalid University Hospital in Riyadh,99
138,2017,Riyadh,King Saud Medical City in Riyadh,98
139,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,96
140,2019,Dammam,Dammam Medical Complex,93
141,2021,Makkah,Maternity and Children Hospital in Mecca,93
142,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,92
143,2020,Albahah,General Directorate of Health Affairs in Al-Baha Region,92
144,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,92
145,2021,Makkah,Security Forces Hospital in Mecca,92
146,2018,Jazan,General Directorate of Health Affairs in Jazan Region,91
147,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,91
148,2020,Jeddah,International Medical Center in Jeddah,91
149,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,91
150,2019,Dammam,King Fahd Specialist Hospital in Dammam,90
151,2017,Riyadh,Riyadh Second Health Cluster,90
152,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,90
153,2018,Makkah,King Abdullah Medical City in the Holy Capital,89
154,2021,Al-Ahsa,Maternity and Children Hospital in Mubarraz,89
155,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,89
156,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,88
157,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,88
158,2018,Riyadh,Riyadh Second Health Cluster,87
159,2017,Riyadh,Security Forces Hospital in Riyadh,87
160,2016,Riyadh,Medical City of King Saud University in Riyadh,86
161,2019,Riyadh,Riyadh Second Health Cluster,84
162,2018,Jeddah,King Fahd General Hospital in Jeddah,84
163,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,84
164,2021,Riyadh,AlYamamah Hospital in Riyadh,84
165,2020,Taif,King Abdulaziz Specialist Hospital in Taif,83
166,2019,Jeddah,East Jeddah Hospital in Jeddah,83
168,2019,Dammam,Eastern Health Cluster,82
169,2019,Hofuf,King Fahad Hospital in Hofuf,82
170,2021,Manama,Salmaniya Medical Complex in Manama,82
171,2021,Manama,King Hamad University Hospital in Kingdom of Bahrain,81
172,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,80
174,2021,Makkah,King Abdulaziz Hospital in Mecca,78
175,2020,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,78
176,2020,Riyadh,King Khalid University Hospital in Riyadh,78
177,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,78
178,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,78
179,2021,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,76
180,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,76
181,2018,Riyadh,King Khalid University Hospital in Riyadh,75
183,2018,Madinah,King Fahd Hospital in Medina,75
184,2020,Madinah,Joint Family Medicine Program - Medina,74
185,2017,Abha,General Directorate of Health Affairs in Aseer Region,74
186,2021,Madinah,Joint Family Medicine Program - Medina,74
187,2021,Buraidah,Maternity and Pediatric Hospital in Buraidah,74
188,2017,Riyadh,King Khalid University Hospital in Riyadh,72
189,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,72
190,2021,Taif,The program of the Ministry of Health in Taif ,72
191,2019,Jeddah,King Abdulaziz Hospital in Jeddah,72
192,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,72
193,2020,Makkah,Maternity and Children Hospital in Mecca,71
194,2018,Makkah,Alnoor Specialist Hospital in Mecca,71
195,2019,Madinah,Maternity and Children Hospital in Medina,70
196,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,70
197,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,69
198,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,69
199,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,69
200,2021,Riyadh,Riyadh First Health Cluster,69
201,2019,Riyadh,King Khalid University Hospital in Riyadh,69
202,2018,Dammam,King Fahd Specialist Hospital in Dammam,69
203,2019,Taif,King Faisal Medical Complex in Taif,68
204,2019,Jeddah,International Medical Center in Jeddah,68
205,2018,Alqatif  ,AlQatif Central Hospital,67
206,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,67
207,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,66
208,2020,Makkah,Security Forces Hospital in Mecca,66
209,2020,Taif,The program of the Ministry of Health in Taif ,65
210,2020,Riyadh,AlYamamah Hospital in Riyadh,65
211,2020,Buraidah,King Fahd Specialist Hospital in Buraidah,65
212,2020,Makkah,King Abdulaziz Hospital in Mecca,65
213,2021,Jubail,Royal Commission Medical Center in Jubail,65
214,2018,Dammam,Eastern Health Cluster,64
215,2020,Riyadh,Riyadh Second Health Cluster,64
216,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,64
217,2020,Jeddah,King Abdullah Medical Complex in Jeddah,64
218,2019,Najran,General Directorate of Health Affairs in Najran Region,64
219,2017,Khobar,King Fahd University Hospital in Khobar,64
220,2021,Taif,MOH JointProgram for Family Medicine -Taif,63
221,2021,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,63
222,2020,Taif,MOH JointProgram for Family Medicine -Taif,63
223,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,62
224,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,62
225,2018,Jeddah,The program of the Ministry of Health in Jeddah,62
226,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,62
227,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,61
228,2021,Makkah,King Faisal Hospital in Mecca,61
229,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,60
230,2021,Makkah,Hera General Hospital in Mecca,60
231,2019,Taif,King Abdulaziz Specialist Hospital in Taif,60
232,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,60
233,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,60
234,2021,Dammam,Security Forces Hospital in Dammam,59
235,2021,Dubai,Rashed Hospital in Dubai,59
236,2018,Dammam,Dammam Medical Complex,59
237,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,58
238,2019,Taif,The program of the Ministry of Health in Taif ,58
239,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,58
240,2017,Makkah,King Abdullah Medical City in the Holy Capital,58
241,2020,Manama,Salmaniya Medical Complex in Manama,57
242,2016,Riyadh,King Saud Medical City in Riyadh,57
243,2020,Buraidah,The program of the Ministry of Health in Al-Qassim,56
244,2021,Riyadh,"Joint training program in the central region, Riyadh",56
245,2019,Makkah,King Abdulaziz Hospital in Mecca,55
246,2022,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,55
247,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,55
248,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,55
249,2018,Hofuf,King Fahad Hospital in Hofuf,55
250,2019,Makkah,Maternity and Children Hospital in Mecca,54
251,2021,Madinah,Uhud General Hospital in Medina,54
252,2021,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,54
253,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,54
254,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,53
255,2020,Riyadh,"Joint training program in the central region, Riyadh",53
257,2018,Jeddah,East Jeddah Hospital in Jeddah,52
258,2021,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,52
259,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,52
260,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,52
261,2019,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,52
262,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,52
263,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,52
264,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,51
265,2021,Taif,Pediatric Hospital in Taif,51
266,2019,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,51
267,2020,Buraidah,Maternity and Pediatric Hospital in Buraidah,50
268,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,50
269,2018,Madinah,Maternity and Children Hospital in Medina,50
270,2016,Riyadh,Riyadh Second Health Cluster,50
271,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,49
273,2017,Dammam,King Fahd Specialist Hospital in Dammam,49
275,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,48
276,2020,Jubail,Royal Commission Medical Center in Jubail,48
277,2021,Hail,King Khalid Hospital in Hail,48
278,2021,Madinah,General Directorate of Health Affairs in Madinah,48
279,2021,Riyadh,Joint Training Program in the Central Region,48
280,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,48
281,2019,Buraidah,King Fahd Specialist Hospital in Buraidah,48
283,2020,Makkah,King Faisal Hospital in Mecca,47
284,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,46
285,2022,Riyadh,Riyadh First Health Cluster,46
286,2018,Jeddah,King Abdulaziz Hospital in Jeddah,46
287,2019,Jeddah,King Abdullah Medical Complex in Jeddah,46
288,2020,Dubai,Rashed Hospital in Dubai,46
289,2021,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,46
290,2019,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,46
291,2019,Makkah,Security Forces Hospital in Mecca,46
292,2017,Jeddah,King Fahd General Hospital in Jeddah,45
293,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,45
294,2019,Manama,Salmaniya Medical Complex in Manama,45
295,2020,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,45
297,2018,Taif,King Faisal Medical Complex in Taif,44
298,2022,Riyadh,King Saud Medical City in Riyadh,44
299,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,43
301,2022,Dammam,Eastern Health Cluster,43
302,2020,Al-Ahsa,Almousa Specialist Hospital in Alahsa,43
303,2020,Dammam,Security Forces Hospital in Dammam,43
304,2018,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,43
305,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,42
307,2021,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,42
308,2021,Yanbu,Royal Commission Medical Center in Yanbu,42
309,2017,Riyadh,Riyadh First Health Cluster,41
310,2021,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,40
311,2020,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,40
312,2018,Taif,King Abdulaziz Specialist Hospital in Taif,40
313,2021,Al-Ahsa,Alahsa Health Cluster,40
314,2017,Madinah,King Fahd Hospital in Medina,40
315,2020,Madinah,Uhud General Hospital in Medina,40
316,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,40
317,2017,Dammam,Eastern Health Cluster,40
318,2016,Abha,General Directorate of Health Affairs in Aseer Region,40
319,2018,Albahah,General Directorate of Health Affairs in Al-Baha Region,40
320,2021,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,40
321,2016,Riyadh,Security Forces Hospital in Riyadh,40
322,2019,Riyadh,AlYamamah Hospital in Riyadh,39
323,2017,Makkah,Alnoor Specialist Hospital in Mecca,39
324,2020,Taif,Pediatric Hospital in Taif,39
325,2020,Makkah,Joint Family and Community Medicine Program,38
326,2022,Abha,General Directorate of Health Affairs in Aseer Region,38
327,2020,Tabuk,"Joint training program in the Western Region, Tabuk",38
328,2021,Tabuk,"Joint training program in the Western Region, Tabuk",38
329,2019,Makkah,Joint Family and Community Medicine Program,38
330,2018,Najran,General Directorate of Health Affairs in Najran Region,38
331,2019,Dubai,Rashed Hospital in Dubai,38
332,2021,Buraidah,Buraidah Central Hospital in Buraidah,38
333,2021,Makkah,Joint Family and Community Medicine Program,38
334,2020,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,38
335,2021,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,37
336,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,37
337,2018,Jeddah,International Medical Center in Jeddah,37
338,2018,Makkah,King Abdulaziz Hospital in Mecca,37
339,2018,Riyadh,Riyadh First Health Cluster,37
340,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,36
341,2019,Buraidah,Maternity and Pediatric Hospital in Buraidah,36
342,2019,Buraidah,The program of the Ministry of Health in Al-Qassim,36
343,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,36
344,2019,Madinah,Joint Family Medicine Program - Medina,36
345,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,36
346,2020,Makkah,Hera General Hospital in Mecca,36
347,2018,Makkah,Maternity and Children Hospital in Mecca,36
348,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,36
349,2021,Madinah,The program of the Ministry of Health in Madinah,35
350,2019,Riyadh,Riyadh First Health Cluster,35
351,2021,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,35
352,2016,Makkah,King Abdullah Medical City in the Holy Capital,35
353,2019,Madinah,The program of the Ministry of Health in Madinah,35
354,2019,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,35
355,2019,Dammam,Security Forces Hospital in Dammam,35
356,2019,Makkah,King Faisal Hospital in Mecca,35
357,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,35
358,2021,Dammam,Maternity and Children Hospital in Dammam,35
359,2020,Madinah,The program of the Ministry of Health in Madinah,35
360,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,34
361,2019,Riyadh,"Joint training program in the central region, Riyadh",34
362,2022,Riyadh,Security Forces Hospital in Riyadh,34
363,2018,Madinah,The program of the Ministry of Health in Madinah,34
364,2016,Dammam,King Fahd Specialist Hospital in Dammam,33
365,2020,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,33
366,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,33
367,2021,Makkah,General Directorate of Health Affairs in Mecca,33
368,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,32
369,2022,Makkah,King Abdullah Medical City in the Holy Capital,32
370,2019,Jubail,Royal Commission Medical Center in Jubail,32
371,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,32
372,2020,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,31
373,2017,Jazan,General Directorate of Health Affairs in Jazan Region,31
374,2020,Yanbu,Royal Commission Medical Center in Yanbu,31
375,2021,Riyadh,Specialized Medical Center Hospital in Riyadh,31
376,2016,Riyadh,Joint Training Program in the Central Region,31
377,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,31
378,2020,Hail,King Khalid Hospital in Hail,30
379,2022,Dammam,King Fahd Specialist Hospital in Dammam,30
380,2020,Hail,Family Medicine Postgraduate Program in Hail,30
381,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,30
382,2021,Hail,Family Medicine Postgraduate Program in Hail,30
383,2022,Khobar,King Fahd University Hospital in Khobar,30
384,2016,Khobar,King Fahd University Hospital in Khobar,30
385,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,29
386,2020,Dammam,Maternity and Children Hospital in Dammam,29
387,2016,Madinah,King Fahd Hospital in Medina,29
389,2021,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,29
390,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,29
392,2018,Makkah,Security Forces Hospital in Mecca,28
393,2018,Jeddah,King Abdullah Medical Complex in Jeddah,28
395,2021,Riyadh,Al-Iman Hospital in Riyadh,28
