,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
910,2019,Riyadh,Security Forces Hospital in Riyadh,102,75,0.74
913,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,474,349,0.74
914,2016,Dammam,Maternity and Children Hospital in Dammam,34,25,0.74
921,2016,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,54,40,0.74
922,2018,Dubai,Rashed Hospital in Dubai,34,25,0.74
923,2016,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,19,14,0.74
926,2017,Riyadh,"Joint training program in the central region, Riyadh",34,25,0.74
927,2017,Dammam,Maternity and Children Hospital in Dammam,39,29,0.74
933,2017,Dubai,Rashed Hospital in Dubai,35,26,0.74
935,2016,Dammam,Dammam Medical Complex,105,78,0.74
944,2018,Jeddah,JointProgram for Family Medicine in Jeddah,97,72,0.74
946,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,389,284,0.73
950,2018,Riyadh,King Fahad Medical City in Riyadh,408,297,0.73
951,2016,Abha,General Directorate of Health Affairs in Aseer Region,218,159,0.73
953,2018,Dammam,King Fahd Specialist Hospital in Dammam,164,119,0.73
954,2017,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,15,11,0.73
956,2017,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
957,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,380,277,0.73
960,2018,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
964,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,15,11,0.73
966,2018,Riyadh,University Dental Hospital at King Saud University in Riyadh,11,8,0.73
967,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,135,99,0.73
969,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,11,8,0.73
971,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,55,40,0.73
972,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,41,30,0.73
973,2016,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
974,2017,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,18,13,0.72
976,2017,Dammam,Dammam Medical Complex,102,73,0.72
977,2016,Riyadh,King Saud Medical City in Riyadh,265,191,0.72
984,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,46,33,0.72
985,2017,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,25,18,0.72
988,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,329,237,0.72
989,2017,Riyadh,Medical City of King Saud University in Riyadh,68,49,0.72
990,2016,Riyadh,Medical City of King Saud University in Riyadh,43,31,0.72
992,2020,Khobar,King Fahd University Hospital in Khobar,85,61,0.72
997,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,129,93,0.72
1000,2019,Hofuf,King Fahad Hospital in Hofuf,40,29,0.72
1001,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,75,54,0.72
1002,2017,Riyadh,Dallah Hospital in Riyadh,18,13,0.72
1003,2016,Dubai,Rashed Hospital in Dubai,25,18,0.72
1010,2019,Jubail,Royal Commission Medical Center in Jubail,7,5,0.71
1017,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,48,34,0.71
1019,2020,Riyadh,King Khalid University Hospital in Riyadh,119,85,0.71
1020,2016,Jazan,General Directorate of Health Affairs in Jazan Region,93,66,0.71
1022,2017,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,21,15,0.71
1025,2017,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,21,15,0.71
1026,2019,Riyadh,Al-Iman Hospital in Riyadh,21,15,0.71
1030,2016,Dammam,Forensic Medicine Center in Dammam,14,10,0.71
1037,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,14,10,0.71
1042,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,393,279,0.71
1045,2020,Jubail,Royal Commission Medical Center in Jubail,7,5,0.71
1046,2019,Jeddah,JointProgram for Family Medicine in Jeddah,80,57,0.71
1047,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,14,10,0.71
1049,2017,Madinah,Medina Cardiac Center,7,5,0.71
1050,2017,Riyadh,Pedodontics Combind Prg(Riyad),7,5,0.71
1052,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,316,224,0.71
1057,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,402,282,0.7
1058,2019,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,33,23,0.7
1060,2018,Dammam,Maternity and Children Hospital in Dammam,33,23,0.7
1063,2018,Riyadh,JointProgram for Psychiatry in Riyadh,10,7,0.7
1064,2016,Riyadh,Dallah Hospital in Riyadh,23,16,0.7
1065,2016,Madinah,Uhud General Hospital in Medina,23,16,0.7
1069,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,86,60,0.7
1072,2019,Dammam,King Fahd Specialist Hospital in Dammam,128,89,0.7
1076,2019,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,20,14,0.7
1078,2017,Riyadh,King Saud Medical City in Riyadh,314,220,0.7
1088,2018,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,30,21,0.7
1089,2016,Taif,MOH JointProgram for Family Medicine -Taif,30,21,0.7
1093,2017,Jeddah,The program of the Ministry of Health in Jeddah,13,9,0.69
1097,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,13,9,0.69
1099,2017,Riyadh,Al-Iman Hospital in Riyadh,13,9,0.69
1101,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,105,72,0.69
1103,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,64,44,0.69
1104,2017,Buraidah,The program of the Ministry of Health in Al-Qassim,29,20,0.69
1110,2016,Madinah,Maternity and Children Hospital in Medina,51,35,0.69
1111,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,83,57,0.69
1114,2019,Riyadh,King Fahad Medical City in Riyadh,358,248,0.69
1116,2020,Buraidah,Prince Sultan Cardiac Center in Buraidah,16,11,0.69
1117,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,624,428,0.69
1120,2016,Jeddah,King Fahd General Hospital in Jeddah,173,120,0.69
1124,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,591,406,0.69
1126,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,261,180,0.69
1129,2020,Riyadh,King Fahad Medical City in Riyadh,281,191,0.68
1131,2020,Hofuf,King Fahad Hospital in Hofuf,25,17,0.68
1133,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,154,105,0.68
1140,2018,Buraidah,The program of the Ministry of Health in Al-Qassim,34,23,0.68
1142,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,124,84,0.68
1144,2017,Makkah,JointProgram for Family Medicine in Makkah,96,65,0.68
1146,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,19,13,0.68
1147,2016,Makkah,King Abdullah Medical City in the Holy Capital,128,87,0.68
1148,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,31,21,0.68
1149,2021,Riyadh,King Fahad Medical City in Riyadh,82,56,0.68
1150,2019,Makkah,Maternity and Children Hospital in Mecca,28,19,0.68
1151,2017,Madinah,Uhud General Hospital in Medina,25,17,0.68
1156,2017,Manama,King Hamad University Hospital in Kingdom of Bahrain,34,23,0.68
1159,2020,Madinah,JointProgram for Family Medicine in Madinah,28,19,0.68
1161,2017,Buraidah,King Fahd Specialist Hospital in Buraidah,39,26,0.67
1162,2020,Alqatif  ,AlQatif Central Hospital,39,26,0.67
1163,2017,Jeddah,King Fahd General Hospital in Jeddah,183,123,0.67
1169,2021,Abha,General Directorate of Health Affairs in Aseer Region,9,6,0.67
1171,2018,Riyadh,Medical City of King Saud University in Riyadh,86,58,0.67
1173,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,78,52,0.67
1177,2018,Jeddah,King Fahd General Hospital in Jeddah,147,99,0.67
1180,2020,Riyadh,Security Forces Hospital in Riyadh,66,44,0.67
1181,2016,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,12,8,0.67
1190,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,54,36,0.67
1192,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,48,32,0.67
1193,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,165,111,0.67
1195,2017,Jeddah,JointProgram for Orthodontics- Jeddah,12,8,0.67
1197,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,15,10,0.67
1200,2020,Dammam,Eastern Health Cluster,6,4,0.67
1202,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,21,14,0.67
1203,2019,Hail,Dental Center in Hail,3,2,0.67
1204,2019,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,3,2,0.67
1206,2021,Dammam,Dammam Medical Complex,3,2,0.67
1210,2018,Dammam,"Joint training program in the eastern region, Dammam",6,4,0.67
1211,2018,Riyadh,Medical Center at King Fahd Security College in Riyadh,3,2,0.67
1214,2017,Unaizah,King Saud Hospital in Unaizah,6,4,0.67
1215,2019,Dubai,Al Jalila Pediatric Hospital in Dubai,3,2,0.67
1217,2018,Unaizah,King Saud Hospital in Unaizah,6,4,0.67
1221,2017,Jeddah,Forensic Medicine center in Jeddah,15,10,0.67
1224,2019,Madinah,Uhud General Hospital in Medina,18,12,0.67
1226,2018,Hail,Dental Center in Hail,3,2,0.67
1227,2018,Jeddah,King Abdullah Medical Complex in Jeddah,6,4,0.67
1229,2020,Dammam,Eradah Mental Health Hospital in Dammam,3,2,0.67
1231,2017,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,6,4,0.67
1233,2016,Manama,Salmaniya Medical Complex in Manama,6,4,0.67
1236,2019,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,24,16,0.67
1243,2017,Jouf,The program of the Ministry of Health in Al-Jouf,3,2,0.67
1249,2016,Manama,King Hamad University Hospital in Kingdom of Bahrain,30,20,0.67
1256,2018,Jouf,The program of the Ministry of Health in Al-Jouf,3,2,0.67
1259,2019,Riyadh,Medical Center at King Fahd Security College in Riyadh,3,2,0.67
1260,2020,Riyadh,"Joint training program in the central region, Riyadh",30,20,0.67
1261,2016,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,3,2,0.67
1262,2016,Riyadh,JointProgram for Ophthalmology - Central,3,2,0.67
1263,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,3,2,0.67
1269,2018,Riyadh,King Saud Medical City in Riyadh,304,200,0.66
1271,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,137,91,0.66
1273,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,127,84,0.66
1276,2017,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,62,41,0.66
1278,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,32,21,0.66
1279,2018,Makkah,Maternity and Children Hospital in Mecca,35,23,0.66
1281,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,47,31,0.66
1283,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,53,35,0.66
1286,2016,Al-Ahsa,Maternity and Children Hospital in Mubarraz,50,33,0.66
1288,2016,Makkah,JointProgram for Family Medicine in Makkah,83,55,0.66
1291,2018,Makkah,JointProgram for Family Medicine in Makkah,97,64,0.66
1293,2017,Abha,General Directorate of Health Affairs in Aseer Region,239,156,0.65
1294,2021,Makkah,Alnoor Specialist Hospital in Mecca,17,11,0.65
1298,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,20,13,0.65
1299,2016,Najran,General Directorate of Health Affairs in Najran Region,20,13,0.65
1303,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,91,59,0.65
1311,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,162,106,0.65
1312,2017,Jazan,General Directorate of Health Affairs in Jazan Region,133,87,0.65
1313,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,139,90,0.65
1318,2020,Manama,Salmaniya Medical Complex in Manama,11,7,0.64
1320,2020,Dammam,King Fahd Specialist Hospital in Dammam,101,65,0.64
1321,2018,Jeddah,JointProgram for Orthodontics- Jeddah,11,7,0.64
1323,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,61,39,0.64
1328,2017,Dammam,Security Forces Hospital in Dammam,14,9,0.64
1331,2017,Riyadh,JointProgram for Periodontics- Riyadh,11,7,0.64
1334,2017,Riyadh,JointProgram for Psychiatry in Riyadh,11,7,0.64
1336,2018,Jeddah,Forensic Medicine center in Jeddah,11,7,0.64
1338,2021,Riyadh,Medical City of King Saud University in Riyadh,22,14,0.64
1342,2018,Riyadh,JointProgram for Periodontics- Riyadh,11,7,0.64
1343,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,472,301,0.64
1344,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,307,198,0.64
1348,2017,Makkah,Maternity and Children Hospital in Mecca,42,27,0.64
1350,2017,Makkah,King Abdullah Medical City in the Holy Capital,152,98,0.64
1353,2020,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,19,12,0.63
1354,2018,Makkah,King Abdullah Medical City in the Holy Capital,138,87,0.63
1355,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,223,141,0.63
1356,2017,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,27,17,0.63
1364,2017,Najran,General Directorate of Health Affairs in Najran Region,19,12,0.63
1376,2021,Riyadh,King Saud Medical City in Riyadh,37,23,0.62
1377,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,106,66,0.62
1379,2018,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,16,10,0.62
1381,2021,Jouf,The program of the Ministry of Health in Al-Jouf,8,5,0.62
1382,2021,Madinah,Maternity and Children Hospital in Medina,8,5,0.62
1389,2019,Jouf,The program of the Ministry of Health in Al-Jouf,8,5,0.62
1391,2018,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,26,16,0.62
1394,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,125,77,0.62
1397,2018,Jazan,General Directorate of Health Affairs in Jazan Region,125,78,0.62
1398,2021,Jeddah,King Abdullah Medical Complex in Jeddah,8,5,0.62
1399,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,55,34,0.62
1402,2016,Makkah,Alnoor Specialist Hospital in Mecca,89,55,0.62
1406,2019,Jeddah,King Fahd General Hospital in Jeddah,120,74,0.62
1407,2017,Madinah,Maternity and Children Hospital in Medina,48,30,0.62
1408,2019,Riyadh,"Joint training program in the central region, Riyadh",32,20,0.62
1409,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,18,11,0.61
1412,2018,Dammam,Dammam Medical Complex,94,57,0.61
1419,2019,Riyadh,King Saud Medical City in Riyadh,241,148,0.61
1420,2018,Abha,General Directorate of Health Affairs in Aseer Region,191,117,0.61
1421,2019,Makkah,JointProgram for Family Medicine in Makkah,74,45,0.61
1422,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,134,82,0.61
1426,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,82,50,0.61
1431,2017,Makkah,Alnoor Specialist Hospital in Mecca,87,53,0.61
1434,2020,Madinah,JointProgram for Preventive Medicine in Madinah,5,3,0.6
1437,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,5,3,0.6
1438,2021,Najran,General Directorate of Health Affairs in Najran Region,5,3,0.6
1440,2016,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,53,32,0.6
1441,2019,Makkah,Alnoor Specialist Hospital in Mecca,62,37,0.6
1442,2017,Taif,MOH JointProgram for Family Medicine -Taif,50,30,0.6
1443,2019,Jeddah,The program of the Ministry of Health in Jeddah,15,9,0.6
1445,2020,Jeddah,The program of the Ministry of Health in Jeddah,15,9,0.6
1446,2016,Jeddah,Eradah Complex - Psychological Services in Jeddah,15,9,0.6
1447,2018,Dammam,Security Forces Hospital in Dammam,15,9,0.6
1449,2019,Dammam,Eradah Mental Health Hospital in Dammam,5,3,0.6
1451,2019,Dammam,Forensic Medicine Center in Dammam,5,3,0.6
1463,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,5,3,0.6
1468,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,129,78,0.6
1474,2016,Madinah,King Fahd Hospital in Medina,84,50,0.6
1475,2017,Riyadh,Joint Psychiatry Program - Riyadh,10,6,0.6
1476,2021,Khobar,King Fahd University Hospital in Khobar,10,6,0.6
1477,2019,Riyadh,JointProgram for Psychiatry in Riyadh,10,6,0.6
1480,2021,Madinah,King Fahd Hospital in Medina,5,3,0.6
1482,2016,Dammam,Eradah Mental Health Hospital in Dammam,10,6,0.6
1485,2016,Riyadh,JointProgram for Psychiatry in Riyadh,10,6,0.6
1486,2020,Madinah,Medina Cardiac Center,10,6,0.6
1488,2019,Jazan,General Directorate of Health Affairs in Jazan Region,96,57,0.59
1493,2019,Dubai,Rashed Hospital in Dubai,32,19,0.59
1494,2019,Makkah,King Abdullah Medical City in the Holy Capital,95,56,0.59
1495,2018,Riyadh,Dallah Hospital in Riyadh,17,10,0.59
1497,2019,Manama,Salmaniya Medical Complex in Manama,17,10,0.59
1498,2019,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,17,10,0.59
1499,2017,Makkah,King Faisal Hospital in Mecca,34,20,0.59
1500,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,17,10,0.59
1501,2018,Makkah,Alnoor Specialist Hospital in Mecca,81,48,0.59
1503,2017,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,17,10,0.59
1504,2019,Dammam,Dammam Medical Complex,73,43,0.59
1505,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,88,52,0.59
1508,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,113,66,0.58
1511,2020,Riyadh,King Saud Medical City in Riyadh,171,100,0.58
1512,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,67,39,0.58
1517,2019,Riyadh,JointProgram for Periodontics- Riyadh,12,7,0.58
1518,2020,Riyadh,King Abdulaziz University Hospital in Riyadh,12,7,0.58
1522,2016,Makkah,Maternity and Children Hospital in Mecca,43,25,0.58
1523,2018,Makkah,King Faisal Hospital in Mecca,31,18,0.58
1526,2020,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,7,4,0.57
1527,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,143,82,0.57
1531,2016,Jeddah,East Jeddah Hospital in Jeddah,23,13,0.57
1532,2020,Buraidah,King Fahd Specialist Hospital in Buraidah,14,8,0.57
1533,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,91,52,0.57
1534,2016,Taif,King Faisal Medical Complex in Taif,23,13,0.57
1539,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,37,21,0.57
1540,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,30,17,0.57
1541,2019,Riyadh,Medical City of King Saud University in Riyadh,106,60,0.57
1544,2017,Jeddah,Maternity and Children Hospital in Jeddah,35,20,0.57
1545,2018,Dammam,Forensic Medicine Center in Dammam,7,4,0.57
1546,2020,Makkah,Alnoor Specialist Hospital in Mecca,54,31,0.57
1547,2016,Jeddah,Forensic Medicine center in Jeddah,14,8,0.57
1550,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,7,4,0.57
1554,2019,Jeddah,Forensic Medicine center in Jeddah,7,4,0.57
1557,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,43,24,0.56
1558,2017,Jeddah,Eradah Complex - Psychological Services in Jeddah,18,10,0.56
1568,2020,Makkah,King Faisal Hospital in Mecca,16,9,0.56
1569,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,18,10,0.56
1570,2021,Jeddah,King Fahd General Hospital in Jeddah,16,9,0.56
1571,2018,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,18,10,0.56
1572,2016,Makkah,Security Forces Hospital in Mecca,18,10,0.56
1573,2020,Jeddah,King Abdulaziz Hospital in Jeddah,36,20,0.56
1574,2016,Jeddah,Maternity and Children Hospital in Jeddah,43,24,0.56
1575,2019,Buraidah,The program of the Ministry of Health in Al-Qassim,25,14,0.56
1576,2020,Madinah,Uhud General Hospital in Medina,9,5,0.56
1578,2021,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,9,5,0.56
1581,2018,Taif,MOH JointProgram for Family Medicine -Taif,45,25,0.56
1583,2016,Bisha,Directorate of Health Affairs in Bisha Governorate,9,5,0.56
1584,2019,Riyadh,Dallah Hospital in Riyadh,9,5,0.56
1587,2019,Jeddah,Eradah Complex - Psychological Services in Jeddah,9,5,0.56
1591,2020,Jazan,General Directorate of Health Affairs in Jazan Region,60,33,0.55
1594,2017,Jeddah,East Jeddah Hospital in Jeddah,40,22,0.55
1598,2020,Riyadh,Al-Iman Hospital in Riyadh,22,12,0.55
1599,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,22,12,0.55
1602,2019,Abha,General Directorate of Health Affairs in Aseer Region,138,76,0.55
1603,2020,Jeddah,JointProgram for Family Medicine in Jeddah,42,23,0.55
1605,2017,Madinah,King Fahd Hospital in Medina,82,45,0.55
1607,2018,Jeddah,East Jeddah Hospital in Jeddah,42,23,0.55
1608,2020,Najran,General Directorate of Health Affairs in Najran Region,11,6,0.55
1610,2020,Buraidah,The program of the Ministry of Health in Al-Qassim,20,11,0.55
1612,2020,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,11,6,0.55
1614,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,33,18,0.55
1616,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,35,19,0.54
1618,2018,Jeddah,Eradah Complex - Psychological Services in Jeddah,13,7,0.54
1620,2016,Riyadh,JointProgram for Forensic Medicine-Riyadh,13,7,0.54
1622,2016,Jeddah,JointProgram for Orthodontics- Jeddah,13,7,0.54
1624,2019,Jeddah,King Abdulaziz Hospital in Jeddah,57,31,0.54
1629,2017,Taif,King Faisal Medical Complex in Taif,28,15,0.54
1631,2020,Jeddah,East Jeddah Hospital in Jeddah,28,15,0.54
1632,2020,Makkah,King Abdullah Medical City in the Holy Capital,70,37,0.53
1635,2020,Dammam,Dammam Medical Complex,43,23,0.53
1636,2017,Jeddah,King Abdulaziz Hospital in Jeddah,85,45,0.53
1637,2019,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,15,8,0.53
1638,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,89,47,0.53
1640,2018,Madinah,King Fahd Hospital in Medina,77,41,0.53
1642,2020,Jeddah,King Fahd General Hospital in Jeddah,81,43,0.53
1648,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,32,17,0.53
1649,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,32,17,0.53
1651,2021,Dammam,King Fahd Specialist Hospital in Dammam,30,16,0.53
1653,2018,Jeddah,King Abdulaziz Hospital in Jeddah,78,41,0.53
1654,2016,Jeddah,King Abdulaziz Hospital in Jeddah,78,41,0.53
1655,2021,Riyadh,King Khalid University Hospital in Riyadh,34,18,0.53
1666,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,60,31,0.52
1674,2019,Jeddah,East Jeddah Hospital in Jeddah,41,21,0.51
1675,2019,Madinah,King Fahd Hospital in Medina,65,33,0.51
1676,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,51,26,0.51
1677,2018,Madinah,Maternity and Children Hospital in Medina,39,20,0.51
1689,2017,Hail,Family Medicine Postgraduate Program in Hail,12,6,0.5
1691,2020,Alkharj  ,The program of the Ministry of Health in Al-Kharj,4,2,0.5
1692,2016,Riyadh,King Abdulaziz University Hospital in Riyadh,4,2,0.5
1693,2018,Madinah,Uhud General Hospital in Medina,30,15,0.5
1694,2020,Jeddah,Forensic Medicine center in Jeddah,4,2,0.5
1700,2021,Riyadh,Security Forces Hospital in Riyadh,18,9,0.5
1702,2019,Hail,Family Medicine Postgraduate Program in Hail,12,6,0.5
1706,2021,Makkah,Hera General Hospital in Mecca,4,2,0.5
1716,2016,Taif,King Abdulaziz Specialist Hospital in Taif,26,13,0.5
1717,2019,Dammam,JointProgram for Prosthodontics - Dammam,2,1,0.5
1718,2020,Madinah,King Fahd Hospital in Medina,42,21,0.5
1721,2017,Dammam,Forensic Medicine Center in Dammam,10,5,0.5
1722,2018,Riyadh,King Abdulaziz University Hospital in Riyadh,10,5,0.5
1724,2018,Dammam,Eastern Health Cluster,6,3,0.5
1728,2016,Taif,Pediatric Hospital in Taif,10,5,0.5
1731,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,6,3,0.5
1732,2016,Hail,Dental Center in Hail,2,1,0.5
1734,2020,Makkah,Maternity and Children Hospital in Mecca,22,11,0.5
1736,2017,Riyadh,King Abdulaziz University Hospital in Riyadh,6,3,0.5
1737,2018,Hail,Family Medicine Postgraduate Program in Hail,12,6,0.5
1742,2019,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,2,1,0.5
1744,2020,Riyadh,JointProgram for Psychiatry in Riyadh,2,1,0.5
1745,2017,Dammam,Eastern Health Cluster,6,3,0.5
1746,2017,Manama,Salmaniya Medical Complex in Manama,20,10,0.5
