,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
1747,2016,Riyadh,Joint Family Medicine Program - Riyadh,2,1,0.5
1748,2019,Makkah,King Abdulaziz Hospital in Mecca,32,16,0.5
1749,2017,Arar,MOH JointProgram for Family Medicine -Arar,4,2,0.5
1752,2018,Dammam,JointProgram for Prosthodontics - Dammam,2,1,0.5
1753,2020,Jeddah,Maternity and Children Hospital in Jeddah,8,4,0.5
1754,2020,Taif,"Joint training program in the Western Region, Taif",2,1,0.5
1755,2018,Arar,MOH JointProgram for Family Medicine -Arar,4,2,0.5
1756,2017,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,18,9,0.5
1761,2021,Hail,King Khalid Hospital in Hail,2,1,0.5
1765,2020,Dammam,Maternity and Children Hospital in Dammam,18,9,0.5
1771,2019,Unaizah,King Saud Hospital in Unaizah,8,4,0.5
1774,2018,Riyadh,"Joint training program in the central region, Riyadh",8,4,0.5
1778,2020,Riyadh,Medical Center at King Fahd Security College in Riyadh,2,1,0.5
1780,2016,Arar,MOH JointProgram for Family Medicine -Arar,8,4,0.5
1783,2017,Dammam,JointProgram for Prosthodontics - Dammam,2,1,0.5
1784,2020,Tabuk,The program of the Ministry of Health in Tabuk,2,1,0.5
1785,2017,Riyadh,Medical Center at King Fahd Security College in Riyadh,2,1,0.5
1786,2018,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,2,1,0.5
1790,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,4,2,0.5
1791,2021,Tabuk,The program of the Ministry of Health in Tabuk,2,1,0.5
1797,2020,Dammam,Forensic Medicine Center in Dammam,2,1,0.5
1798,2019,Taif,MOH JointProgram for Family Medicine -Taif,35,17,0.49
1799,2020,Riyadh,Medical City of King Saud University in Riyadh,76,37,0.49
1804,2018,Makkah,Security Forces Hospital in Mecca,27,13,0.48
1805,2018,Manama,Salmaniya Medical Complex in Manama,21,10,0.48
1807,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,48,23,0.48
1808,2018,Taif,King Faisal Medical Complex in Taif,23,11,0.48
1810,2016,Makkah,Hera General Hospital in Mecca,31,15,0.48
1817,2020,Abha,General Directorate of Health Affairs in Aseer Region,77,36,0.47
1819,2019,Makkah,King Faisal Hospital in Mecca,30,14,0.47
1821,2016,Riyadh,AlYamamah Hospital in Riyadh,28,13,0.46
1823,2017,Makkah,Security Forces Hospital in Mecca,28,13,0.46
1824,2018,Makkah,King Abdulaziz Hospital in Mecca,39,18,0.46
1825,2017,Dammam,Eradah Mental Health Hospital in Dammam,13,6,0.46
1826,2016,Makkah,King Faisal Hospital in Mecca,24,11,0.46
1827,2019,Makkah,Security Forces Hospital in Mecca,24,11,0.46
1828,2019,Makkah,Hera General Hospital in Mecca,26,12,0.46
1831,2016,Yanbu,Royal Commission Medical Center in Yanbu,13,6,0.46
1837,2019,Yanbu,Royal Commission Medical Center in Yanbu,22,10,0.45
1840,2019,Madinah,Maternity and Children Hospital in Medina,29,13,0.45
1841,2021,Makkah,King Abdullah Medical City in the Holy Capital,22,10,0.45
1843,2021,Riyadh,King Abdulaziz University Hospital in Riyadh,9,4,0.44
1844,2017,Taif,King Abdulaziz Specialist Hospital in Taif,27,12,0.44
1846,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,9,4,0.44
1852,2017,Taif,Pediatric Hospital in Taif,18,8,0.44
1854,2021,Riyadh,Joint Training Program in the Central Region,9,4,0.44
1855,2016,Buraidah,Maternity and Pediatric Hospital in Buraidah,32,14,0.44
1857,2019,Taif,King Abdulaziz Specialist Hospital in Taif,18,8,0.44
1858,2017,Makkah,King Abdulaziz Hospital in Mecca,39,17,0.44
1859,2017,Makkah,Hera General Hospital in Mecca,32,14,0.44
1861,2019,Jeddah,Maternity and Children Hospital in Jeddah,9,4,0.44
1863,2017,Buraidah,Maternity and Pediatric Hospital in Buraidah,23,10,0.43
1864,2019,Riyadh,JointProgram for Forensic Medicine-Riyadh,7,3,0.43
1867,2020,Makkah,Hera General Hospital in Mecca,23,10,0.43
1870,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,7,3,0.43
1871,2016,Arar,The program of the Ministry of Health in Arar,14,6,0.43
1874,2017,Riyadh,JointProgram for Forensic Medicine-Riyadh,14,6,0.43
1876,2018,Yanbu,Royal Commission Medical Center in Yanbu,21,9,0.43
1878,2018,Makkah,Hera General Hospital in Mecca,28,12,0.43
1880,2018,Jeddah,Maternity and Children Hospital in Jeddah,21,9,0.43
1883,2019,Dammam,Security Forces Hospital in Dammam,12,5,0.42
1885,2018,Najran,General Directorate of Health Affairs in Najran Region,24,10,0.42
1887,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,48,20,0.42
1889,2020,Makkah,JointProgram for Family Medicine in Makkah,40,17,0.42
1899,2017,Yanbu,Royal Commission Medical Center in Yanbu,17,7,0.41
1901,2016,Makkah,King Abdulaziz Hospital in Mecca,29,12,0.41
1904,2020,Madinah,Maternity and Children Hospital in Medina,25,10,0.4
1906,2019,Najran,General Directorate of Health Affairs in Najran Region,25,10,0.4
1909,2020,Taif,MOH JointProgram for Family Medicine -Taif,25,10,0.4
1910,2016,Dammam,Eastern Health Cluster,5,2,0.4
1912,2020,Hail,Family Medicine Postgraduate Program in Hail,10,4,0.4
1913,2021,Riyadh,Comprehensive Specialized Clinics West of Riyadh,5,2,0.4
1918,2020,Riyadh,Comprehensive Specialized Clinics West of Riyadh,5,2,0.4
1919,2021,Taif,King Abdulaziz Specialist Hospital in Taif,5,2,0.4
1923,2020,Riyadh,Joint Training Program in the Central Region,10,4,0.4
1924,2020,Makkah,King Abdulaziz Hospital in Mecca,20,8,0.4
1925,2016,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,5,2,0.4
1928,2016,Hail,King Khalid Hospital in Hail,10,4,0.4
1929,2018,Taif,King Abdulaziz Specialist Hospital in Taif,23,9,0.39
1931,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,33,13,0.39
1936,2018,Albahah,General Directorate of Health Affairs in Al-Baha Region,44,17,0.39
1941,2020,Yanbu,Royal Commission Medical Center in Yanbu,13,5,0.38
1944,2017,Bisha,Directorate of Health Affairs in Bisha Governorate,13,5,0.38
1946,2018,Dammam,Eradah Mental Health Hospital in Dammam,8,3,0.38
1948,2020,Dubai,Rashed Hospital in Dubai,24,9,0.38
1949,2018,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,24,9,0.38
1953,2020,Hail,Dental Center in Hail,8,3,0.38
1954,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,26,10,0.38
1962,2019,Taif,King Faisal Medical Complex in Taif,25,9,0.36
1963,2017,Hail,King Khalid Hospital in Hail,11,4,0.36
1968,2017,Riyadh,AlYamamah Hospital in Riyadh,28,10,0.36
1972,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,14,5,0.36
1973,2019,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,22,8,0.36
1974,2019,Hail,King Khalid Hospital in Hail,14,5,0.36
1976,2016,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,20,7,0.35
1979,2020,Riyadh,Dental complex in north of Riyadh,6,2,0.33
1980,2017,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,3,1,0.33
1982,2020,Hail,King Khalid Hospital in Hail,9,3,0.33
1983,2020,Taif,Pediatric Hospital in Taif,9,3,0.33
1984,2020,Riyadh,Dental Healthcare Center in West Riyadh,6,2,0.33
1985,2020,Makkah,Security Forces Hospital in Mecca,15,5,0.33
1987,2020,Taif,King Abdulaziz Specialist Hospital in Taif,15,5,0.33
1988,2020,Jazan,University Medical Center in Jazan University,3,1,0.33
1989,2021,Riyadh,Dental complex in north of Riyadh,6,2,0.33
1990,2021,Alkharj  ,The program of the Ministry of Health in Al-Kharj,6,2,0.33
1991,2021,Riyadh,Al-Iman Hospital in Riyadh,6,2,0.33
1995,2017,Al-Ahsa,Almousa Specialist Hospital in Alahsa,3,1,0.33
2001,2019,Dhahran,Eye Specialist Hospital in Dhahran,6,2,0.33
2002,2019,Taif,"Joint training program in the Western Region, Taif",3,1,0.33
2003,2019,Dammam,Eastern Health Cluster,3,1,0.33
2006,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,3,1,0.33
2007,2018,Jazan,University Medical Center in Jazan University,3,1,0.33
2008,2019,Al-Ahsa,Almousa Specialist Hospital in Alahsa,3,1,0.33
2012,2020,Al-Ahsa,Almousa Specialist Hospital in Alahsa,3,1,0.33
2021,2018,Buraidah,Maternity and Pediatric Hospital in Buraidah,21,7,0.33
2022,2020,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,3,1,0.33
2023,2021,Riyadh,Dental Healthcare Center in West Riyadh,6,2,0.33
2024,2017,Taif,"Joint training program in the Western Region, Taif",3,1,0.33
2025,2019,Jazan,University Medical Center in Jazan University,3,1,0.33
2027,2020,Jeddah,Eradah Complex - Psychological Services in Jeddah,6,2,0.33
2030,2019,Buraidah,Maternity and Pediatric Hospital in Buraidah,19,6,0.32
2031,2017,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,25,8,0.32
2036,2019,Jeddah,King Abdullah Medical Complex in Jeddah,13,4,0.31
2044,2020,Yanbu,The program of the Ministry of Health Yanbu,7,2,0.29
2045,2017,Yanbu,The program of the Ministry of Health Yanbu,7,2,0.29
2048,2020,Riyadh,Dallah Hospital in Riyadh,7,2,0.29
2050,2020,Unaizah,King Saud Hospital in Unaizah,7,2,0.29
2052,2020,Riyadh,JointProgram for Periodontics- Riyadh,7,2,0.29
2053,2018,Taif,Pediatric Hospital in Taif,14,4,0.29
2056,2019,Yanbu,The program of the Ministry of Health Yanbu,7,2,0.29
2057,2018,Yanbu,The program of the Ministry of Health Yanbu,7,2,0.29
2064,2018,Riyadh,AlYamamah Hospital in Riyadh,25,7,0.28
2066,2020,Taif,King Faisal Medical Complex in Taif,15,4,0.27
2068,2020,Riyadh,AlYamamah Hospital in Riyadh,15,4,0.27
2069,2018,Bisha,Directorate of Health Affairs in Bisha Governorate,11,3,0.27
2070,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,15,4,0.27
2072,2020,Albahah,General Directorate of Health Affairs in Al-Baha Region,19,5,0.26
2074,2019,Arar,The program of the Ministry of Health in Arar,28,7,0.25
2075,2017,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,4,1,0.25
2077,2018,Dhahran,Eye Specialist Hospital in Dhahran,8,2,0.25
2079,2018,Taif,"Joint training program in the Western Region, Taif",4,1,0.25
2080,2021,Taif,Specislized Dental Center in Taif,4,1,0.25
2081,2018,Jouf,Muktt 5 primary health care center in Aljowf,4,1,0.25
2082,2019,Jouf,Muktt 5 primary health care center in Aljowf,4,1,0.25
2083,2017,Arar,The program of the Ministry of Health in Arar,28,7,0.25
2084,2019,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,4,1,0.25
2085,2021,Makkah,Maternity and Children Hospital in Mecca,4,1,0.25
2087,2018,Arar,The program of the Ministry of Health in Arar,28,7,0.25
2088,2021,Jazan,General Directorate of Health Affairs in Jazan Region,8,2,0.25
2090,2020,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,8,2,0.25
2092,2021,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,4,1,0.25
2098,2016,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,4,1,0.25
2100,2020,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,4,1,0.25
2101,2018,Al-Ahsa,Almousa Specialist Hospital in Alahsa,4,1,0.25
2103,2020,Taif,Specislized Dental Center in Taif,4,1,0.25
2105,2021,Al-Ahsa,Al Ahsa Specialized Dental Center,4,1,0.25
2107,2020,Buraidah,Maternity and Pediatric Hospital in Buraidah,12,3,0.25
2110,2019,Taif,Pediatric Hospital in Taif,12,3,0.25
2113,2016,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,4,1,0.25
2114,2020,Jouf,Muktt 5 primary health care center in Aljowf,4,1,0.25
2117,2017,Jouf,Muktt 5 primary health care center in Aljowf,4,1,0.25
2120,2018,Hail,King Khalid Hospital in Hail,17,4,0.24
2122,2019,Riyadh,AlYamamah Hospital in Riyadh,22,5,0.23
2126,2017,Dhahran,Eye Specialist Hospital in Dhahran,9,2,0.22
2132,2021,Jeddah,King Abdulaziz Hospital in Jeddah,5,1,0.2
2134,2018,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,5,1,0.2
2135,2020,Dhahran,Eye Specialist Hospital in Dhahran,5,1,0.2
2138,2017,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,5,1,0.2
2141,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,5,1,0.2
2142,2021,Hail,Dental Center in Hail,5,1,0.2
2143,2019,Bisha,Directorate of Health Affairs in Bisha Governorate,10,2,0.2
2144,2020,Riyadh,JointProgram for Forensic Medicine-Riyadh,5,1,0.2
2151,2020,Al-Ahsa,Al Ahsa Specialized Dental Center,6,1,0.17
2161,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,22,3,0.14
2162,2020,Dammam,Security Forces Hospital in Dammam,7,1,0.14
2163,2016,Dhahran,Eye Specialist Hospital in Dhahran,7,1,0.14
2164,2020,Arar,The program of the Ministry of Health in Arar,21,3,0.14
2168,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,23,3,0.13
2180,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,69,3,0.04
2182,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,68,3,0.04
2187,2018,Riyadh,Riyadh Second Health Cluster,1,0,0.0
2194,2018,Riyadh,The program of the Ministry of Health in Riyadh,1,0,0.0
2197,2018,Riyadh,Riyadh First Health Cluster,1,0,0.0
2198,2016,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,1,0,0.0
2200,2018,Riyadh,National CARE Hospital in Riyadh,1,0,0.0
2201,2018,Riyadh,JointProgram for Ophthalmology - Central,1,0,0.0
2202,2016,Arar,Arar Health Center of the National Guard in Arar,1,0,0.0
2203,2018,Riyadh,Eradah Mental Health Complex in Riyadh,1,0,0.0
2208,2018,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,1,0,0.0
2210,2018,Najran,King Khaled Hospital in Najran,1,0,0.0
2225,2016,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,9,0,0.0
2248,2019,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,7,0,0.0
2250,2019,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",1,0,0.0
2253,2017,Riyadh,The program of the Ministry of Health in Riyadh,1,0,0.0
2254,2017,Unknown,Without Center,1,0,0.0
2255,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,8,0,0.0
2257,2019,Alrass,Al-Rass General Hospital,1,0,0.0
2258,2016,Riyadh,Riyadh Second Health Cluster,1,0,0.0
2259,2019,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,1,0,0.0
2261,2017,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,1,0,0.0
2262,2017,Hail,Dental Center in Hail,1,0,0.0
2263,2019,Madinah,College of Dentistry Taibah University in Medina,1,0,0.0
2264,2017,Makkah,"Joint training program in the Western Region, Makkah",1,0,0.0
2265,2017,Najran,King Khaled Hospital in Najran,1,0,0.0
2266,2017,Riyadh,JointProgram for Ophthalmology - Central,1,0,0.0
2269,2017,Riyadh,National CARE Hospital in Riyadh,1,0,0.0
2270,2016,Unknown - Saudi Arabia,Joint training program in the Western Region,1,0,0.0
2271,2017,Riyadh,Riyadh First Health Cluster,1,0,0.0
2272,2016,Taif,The program of the Ministry of Health in Taif ,1,0,0.0
2274,2017,Riyadh,Specialized Medical Center Hospital in Riyadh,1,0,0.0
2275,2017,Buraidah,Eradah Mental Health Hospital in Buraidah,1,0,0.0
2276,2016,Taif,"Joint training program in the Western Region, Taif",1,0,0.0
2277,2017,Abha,JointProgram for Family Medicine in Abha,1,0,0.0
2279,2016,Riyadh,The program of the Ministry of Health in Riyadh,1,0,0.0
2280,2016,Makkah,Orthodontics Combined Jeddah,1,0,0.0
2281,2016,Riyadh,Specialized Medical Center Hospital in Riyadh,1,0,0.0
2286,2018,Madinah,College of Dentistry Taibah University in Medina,1,0,0.0
2292,2018,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,1,0,0.0
2293,2018,Abha,JointProgram for Family Medicine in Abha,1,0,0.0
2296,2019,Abha,JointProgram for Family Medicine in Abha,1,0,0.0
2300,2019,Riyadh,Eradah Mental Health Complex in Riyadh,1,0,0.0
2301,2019,Madinah,Forensic Medicine Center in Medina,1,0,0.0
2304,2019,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,1,0,0.0
2306,2019,Najran,King Khaled Hospital in Najran,1,0,0.0
2308,2019,Madinah,Joint Family Medicine Program - Medina,1,0,0.0
2313,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,65,0,0.0
2316,2017,Riyadh,Riyadh Second Health Cluster,1,0,0.0
2317,2021,Jubail,Royal Commission Medical Center in Jubail,1,0,0.0
2320,2017,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,2,0,0.0
2325,2018,Riyadh,Joint Psychiatry Program - Riyadh,4,0,0.0
2329,2018,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,2,0,0.0
2331,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,4,0,0.0
2333,2018,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,4,0,0.0
2334,2018,Buraidah,Eradah Mental Health Hospital in Buraidah,2,0,0.0
2341,2021,Taif,King Faisal Medical Complex in Taif,2,0,0.0
2344,2019,Sakaka,King Abdulaziz Specialist Hospital in Aljowf,5,0,0.0
2347,2021,Makkah,King Faisal Hospital in Mecca,1,0,0.0
2348,2020,Madinah,College of Dentistry Taibah University in Medina,1,0,0.0
2349,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,1,0,0.0
2350,2020,Unknown - Saudi Arabia,Johns Hopkins Aramco Healthcare for Family Medicine,1,0,0.0
2351,2022,Riyadh,Riyadh Second Health Cluster,1,0,0.0
2353,2021,Dammam,Security Forces Hospital in Dammam,2,0,0.0
2354,2020,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,5,0,0.0
2360,2020,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,5,0,0.0
2361,2018,Al-Ahsa,Al Ahsa Specialized Dental Center,2,0,0.0
2363,2021,Jeddah,East Jeddah Hospital in Jeddah,2,0,0.0
2367,2020,Unknown,Unknown,2,0,0.0
2368,2022,Makkah,King Abdullah Medical City in the Holy Capital,2,0,0.0
2369,2022,Makkah,Alnoor Specialist Hospital in Mecca,2,0,0.0
2370,2021,Madinah,General Directorate of Health Affairs in Madinah,2,0,0.0
2371,2021,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,4,0,0.0
2375,2022,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,2,0,0.0
2378,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,2,0,0.0
2384,2019,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,3,0,0.0
2385,2016,Madinah,Joint Training Program in the Western Region - Medina,2,0,0.0
2386,2021,Unknown,Unknown,2,0,0.0
2389,2021,Manama,Salmaniya Medical Complex in Manama,3,0,0.0
2391,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,24,0,0.0
2393,2016,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,3,0,0.0
2396,2022,Alkharj  ,The program of the Ministry of Health in Al-Kharj,3,0,0.0
2397,2021,Yanbu,Royal Commission Medical Center in Yanbu,2,0,0.0
2398,2019,Al-Ahsa,Al Ahsa Specialized Dental Center,2,0,0.0
2399,2021,Dhahran,Eye Specialist Hospital in Dhahran,4,0,0.0
2401,2021,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,2,0,0.0
2403,2021,Jeddah,The program of the Ministry of Health in Jeddah,2,0,0.0
2405,2016,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,2,0,0.0
2407,2019,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,2,0,0.0
2409,2019,Riyadh,Joint Psychiatry Program - Riyadh,4,0,0.0
2410,2021,Makkah,Security Forces Hospital in Mecca,2,0,0.0
2413,2016,Jouf,Muktt 5 primary health care center in Aljowf,2,0,0.0
2421,2019,Buraidah,Eradah Mental Health Hospital in Buraidah,2,0,0.0
2424,2020,Unknown - Saudi Arabia,Joint Psychiatry Program - Dammam,1,0,0.0
2425,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,1,0,0.0
2426,2021,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,1,0,0.0
2428,2019,Riyadh,Riyadh First Health Cluster,1,0,0.0
2432,2021,Dubai,Rashed Hospital in Dubai,6,0,0.0
2440,2020,Riyadh,Joint Psychiatry Program - Riyadh,6,0,0.0
2450,2019,Riyadh,The program of the Ministry of Health in Riyadh,1,0,0.0
2453,2020,Unknown - Saudi Arabia,Joint training program in the Western Region,1,0,0.0
2455,2017,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,7,0,0.0
2464,2017,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,14,0,0.0
2467,2018,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,7,0,0.0
2471,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,51,0,0.0
2474,2020,Bisha,Directorate of Health Affairs in Bisha Governorate,6,0,0.0
2476,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,49,0,0.0
2479,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,1,0,0.0
2480,2020,Buraidah,Eradah Mental Health Hospital in Buraidah,1,0,0.0
2481,2021,Madinah,Forensic Medicine Center in Medina,1,0,0.0
2482,2021,Riyadh,Riyadh Second Health Cluster,1,0,0.0
2483,2021,Alqatif  ,AlQatif Central Hospital,5,0,0.0
2484,2021,Dubai,Al Jalila Pediatric Hospital in Dubai,1,0,0.0
2485,2020,Alrass,Al-Rass General Hospital,1,0,0.0
2486,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,1,0,0.0
2487,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,1,0,0.0
2488,2020,Riyadh,JointProgram for Prosthodontics in Riyadh,1,0,0.0
2489,2021,Taif,MOH JointProgram for Family Medicine -Taif,1,0,0.0
2490,2021,Riyadh,Dallah Hospital in Riyadh,1,0,0.0
2491,2022,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,1,0,0.0
2492,2021,Makkah,King Abdulaziz Hospital in Mecca,1,0,0.0
2493,2021,Jeddah,Eradah Complex - Psychological Services in Jeddah,1,0,0.0
2494,2021,Riyadh,Eradah Mental Health Complex in Riyadh,1,0,0.0
2495,2021,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,1,0,0.0
2496,2020,Madinah,Forensic Medicine Center in Medina,1,0,0.0
2497,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,1,0,0.0
2498,2022,Riyadh,Riyadh First Health Cluster,1,0,0.0
2499,2020,Madinah,Joint Family Medicine Program - Medina,1,0,0.0
2500,2021,Manama,King Hamad University Hospital in Kingdom of Bahrain,1,0,0.0
2501,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,1,0,0.0
2502,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,1,0,0.0
2503,2022,Jeddah,King Fahd General Hospital in Jeddah,1,0,0.0
2504,2021,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,1,0,0.0
2505,2020,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,1,0,0.0
2506,2022,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,1,0,0.0
2507,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,1,0,0.0
2508,2021,Arar,The program of the Ministry of Health in Arar,1,0,0.0
2509,2022,Riyadh,Al-Iman Hospital in Riyadh,1,0,0.0
2510,2021,Madinah,Joint Family Medicine Program - Medina,1,0,0.0
2511,2022,Arar,The program of the Ministry of Health in Arar,1,0,0.0
2512,2021,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,1,0,0.0
2513,2020,Riyadh,Riyadh Care Hospital,1,0,0.0
2514,2022,Riyadh,Medical City of King Saud University in Riyadh,1,0,0.0
2515,2020,Riyadh,Riyadh First Health Cluster,1,0,0.0
2516,2021,Riyadh,Riyadh Care Hospital,1,0,0.0
2517,2021,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,1,0,0.0
2518,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,1,0,0.0
2519,2022,Dammam,Eastern Health Cluster,1,0,0.0
2520,2021,Hofuf,King Fahad Hospital in Hofuf,1,0,0.0
2521,2022,Madinah,King Fahd Hospital in Medina,1,0,0.0
2522,2021,Madinah,Uhud General Hospital in Medina,1,0,0.0
2523,2021,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,1,0,0.0
2524,2021,Makkah,General Directorate of Health Affairs in Mecca,1,0,0.0
2525,2021,Riyadh,JointProgram for Periodontics- Riyadh,1,0,0.0
2526,2020,Riyadh,Eradah Mental Health Complex in Riyadh,1,0,0.0
2527,2021,Jeddah,Directorate of Health Affairs in Jeddah Governorate,1,0,0.0
2528,2020,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,1,0,0.0
2529,2020,Riyadh,JointProgram for Ophthalmology - Central,1,0,0.0
2530,2020,Jeddah,Directorate of Health Affairs in Jeddah Governorate,1,0,0.0
2531,2022,Taif,King Abdulaziz Specialist Hospital in Taif,1,0,0.0
