,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
1,2016,Medicine and Surgery,Movement Disorder,3,3,1.0
9,2018,Medicine and Surgery,Obstetric Anaesthesiology,3,3,1.0
10,2017,Medicine and Surgery,Movement Disorder,3,3,1.0
11,2020,Medicine and Surgery,Musculoskeletal Oncology Fellowship,3,3,1.0
12,2021,Medicine and Surgery,Adult Psychosomatic Medicine,3,3,1.0
13,2018,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
16,2016,Medicine and Surgery,Orthopedic Trauma Surgery,3,3,1.0
17,2017,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
19,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,3,3,1.0
20,2019,Medicine and Surgery,Pediatric Neurosurgery,3,3,1.0
24,2021,Dentistry and Related Specialties,Dental Implant,3,3,1.0
27,2018,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
29,2020,Medicine and Surgery,Pediatrics Urology,4,4,1.0
30,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,4,4,1.0
32,2017,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
34,2020,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,4,4,1.0
38,2019,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
39,2020,Medicine and Surgery,Pediatric Rhino-Otolaryngology,3,3,1.0
40,2016,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
43,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,4,4,1.0
44,2019,Medicine and Surgery,Vascular Surgery,4,4,1.0
45,2021,Medicine and Surgery,Adult Allergy & Immunology,4,4,1.0
47,2020,Medicine and Surgery,Vascular Surgery,4,4,1.0
48,2020,Medicine and Surgery,Movement Disorder,4,4,1.0
49,2020,Medicine and Surgery,Adult Psychosomatic Medicine,3,3,1.0
50,2021,Medicine and Surgery,Emergency Medicine Diploma,3,3,1.0
54,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2,2,1.0
55,2021,Medicine and Surgery,Movement Disorder,2,2,1.0
56,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,2,2,1.0
57,2020,Medicine and Surgery,Pediatric Echocardioghraphy,2,2,1.0
58,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2,2,1.0
65,2020,Medicine and Surgery,Clinical Neurophysiology,2,2,1.0
76,2019,Medicine and Surgery,Orthopedic Trauma Surgery,2,2,1.0
77,2021,Medicine and Surgery,Pediatrics Urology,2,2,1.0
78,2021,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,3,3,1.0
81,2021,Medicine and Surgery,Breast And Endocrine Surgical Oncology,3,3,1.0
82,2020,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,3,3,1.0
85,2021,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,3,3,1.0
89,2021,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
90,2016,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
91,2020,Medicine and Surgery,Breast And Gynecologic Pathology,2,2,1.0
92,2020,Medicine and Surgery,Pediatric Stem Cell Transplantation,2,2,1.0
93,2021,Medicine and Surgery,Pediatric Orthopedic Surgery,2,2,1.0
94,2021,Medicine and Surgery,Vascular Surgery,2,2,1.0
95,2019,Medicine and Surgery,Movement Disorder,2,2,1.0
96,2020,Medicine and Surgery,Adult Stem Cell Transplantation,2,2,1.0
97,2020,Medicine and Surgery,Pediatric Neurosurgery,2,2,1.0
98,2020,Medicine and Surgery,Renal Transplant Surgery,2,2,1.0
99,2021,Medicine and Surgery,Musculoskeletal Oncology Fellowship,2,2,1.0
100,2021,Medicine and Surgery,Pediatric Rhino-Otolaryngology,2,2,1.0
101,2021,Medicine and Surgery,Renal Transplant Surgery,2,2,1.0
102,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,4,4,1.0
103,2021,Medicine and Surgery,Reproductive Medicine & Surgery,4,4,1.0
105,2021,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,8,8,1.0
107,2021,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,10,10,1.0
108,2019,Medicine and Surgery,Reproductive Medicine & Surgery,9,9,1.0
109,2020,Unknown,Nuclear Medicine,9,9,1.0
110,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,9,9,1.0
111,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,8,8,1.0
112,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,8,8,1.0
113,2021,Medicine and Surgery,Musculoskeletal Imaging,8,8,1.0
114,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,8,8,1.0
116,2020,Medicine and Surgery,Reproductive Medicine & Surgery,8,8,1.0
117,2021,Medicine and Surgery,Pediatric Cardiology,11,11,1.0
118,2020,Laboratories and Medical Technology,Saudi Diploma In Blood Banking And Transfusion,8,8,1.0
120,2020,Medicine and Surgery,Adult Allergy & Immunology,8,8,1.0
121,2020,Dentistry and Related Specialties,Dental Implant,8,8,1.0
122,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,7,7,1.0
124,2020,Medicine and Surgery,Child And Adolescent Psychiatry,7,7,1.0
129,2018,Dentistry and Related Specialties,Dental Implant,11,11,1.0
131,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology,14,14,1.0
132,2018,Medicine and Surgery,Vascular And Interventional Radiology,24,24,1.0
137,2019,Medicine and Surgery,Vascular And Interventional Radiology,18,18,1.0
138,2021,Medicine and Surgery,Palliative Medicine,17,17,1.0
139,2017,Dentistry and Related Specialties,Dental Implant,16,16,1.0
142,2020,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,14,14,1.0
144,2018,Medicine and Surgery,Pediatric Gastroenterology,30,30,1.0
147,2016,Medicine and Surgery,Reproductive Medicine & Surgery,13,13,1.0
148,2019,Medicine and Surgery,Palliative Medicine,13,13,1.0
149,2018,Medicine and Surgery,Pediatric Surgery - Fellowship,13,13,1.0
150,2017,Medicine and Surgery,Reproductive Medicine & Surgery,12,12,1.0
152,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,12,12,1.0
153,2020,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,35,35,1.0
154,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,7,7,1.0
155,2020,Medicine and Surgery,Musculoskeletal Imaging,7,7,1.0
156,2020,Medicine and Surgery,Orthopedic Trauma Surgery,6,6,1.0
159,2019,Laboratories and Medical Technology,Medical Microbiology,5,5,1.0
160,2019,Medicine and Surgery,Pediatrics Urology,5,5,1.0
161,2017,Medicine and Surgery,Diploma Family Medicine,5,5,1.0
162,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,5,5,1.0
164,2020,Medicine and Surgery,Renal Transplant,5,5,1.0
173,2021,Medicine and Surgery,Renal Transplant,4,4,1.0
174,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,4,4,1.0
176,2021,Medicine and Surgery,Cardiothoracic Radiology,4,4,1.0
177,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,4,4,1.0
178,2021,Medicine and Surgery,Epilepsy & Electroencephalography,4,4,1.0
179,2020,Medicine and Surgery,Pediatric Orthopedic Surgery,4,4,1.0
180,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,5,5,1.0
181,2018,Nursing and Midwifery,Midwifery Nursing Diploma,5,5,1.0
182,2018,Laboratories and Medical Technology,Medical Microbiology,5,5,1.0
188,2020,Medicine and Surgery,Cardiothoracic Radiology,6,6,1.0
190,2019,Medicine and Surgery,Child And Adolescent Psychiatry,6,6,1.0
191,2018,Medicine and Surgery,Pediatrics Urology,6,6,1.0
193,2020,Medicine and Surgery,Breast And Endocrine Surgical Oncology,6,6,1.0
194,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases,6,6,1.0
195,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,6,6,1.0
200,2018,Medicine and Surgery,Reproductive Medicine & Surgery,6,6,1.0
201,2021,Unknown,Nuclear Medicine,5,5,1.0
202,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,5,5,1.0
204,2017,Medicine and Surgery,Pediatrics Urology,5,5,1.0
212,2019,Medicine and Surgery,Obstetric Anaesthesiology,1,1,1.0
227,2019,Medicine and Surgery,Head And Neck Oncology Surgery,1,1,1.0
229,2017,Medicine and Surgery,Bone And Soft Tissue Pathology,1,1,1.0
230,2017,Medicine and Surgery,Head And Neck Oncology Surgery,1,1,1.0
231,2017,Medicine and Surgery,Neurosurgery Skull-Base,1,1,1.0
234,2021,Medicine and Surgery,Thoracic Surgery,1,1,1.0
240,2021,Medicine and Surgery,Obstetric Anaesthesiology,1,1,1.0
243,2021,Medicine and Surgery,Respiratory Medicine,1,1,1.0
246,2021,Medicine and Surgery,Neurosurgery Skull-Base,1,1,1.0
252,2021,Medicine and Surgery,Clinical Neurophysiology,1,1,1.0
259,2017,Medicine and Surgery,Pediatric Neurosurgery,1,1,1.0
260,2018,Medicine and Surgery,Anesthesia And Intensive Care,1,1,1.0
261,2018,Medicine and Surgery,Interventional Nephrology,1,1,1.0
262,2018,Medicine and Surgery,Movement Disorder,1,1,1.0
266,2020,Medicine and Surgery,Obstetric Anaesthesiology,1,1,1.0
283,2020,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery,1,1,1.0
286,2020,Medicine and Surgery,Neurosurgery Skull-Base,1,1,1.0
288,2018,Medicine and Surgery,Pediatric Neurosurgery,1,1,1.0
289,2019,Medicine and Surgery,Breast And Gynecologic Pathology,1,1,1.0
290,2018,Medicine and Surgery,Neurosurgery Skull-Base,1,1,1.0
291,2018,Medicine and Surgery,Orthopedic Trauma Surgery,1,1,1.0
292,2017,Medicine and Surgery,Anesthesia And Intensive Care,1,1,1.0
293,2019,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery,1,1,1.0
295,2016,Dentistry and Related Specialties,Pediatric Dentistry - 3 Years Track,1,1,1.0
296,2016,Medicine and Surgery,Anesthesia And Intensive Care,1,1,1.0
297,2016,Medicine and Surgery,Bone And Soft Tissue Pathology,1,1,1.0
298,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,1,1,1.0
300,2019,Medicine and Surgery,Anesthesia And Intensive Care,1,1,1.0
301,2020,Medicine and Surgery,Head And Neck Oncology Surgery,1,1,1.0
302,2016,Medicine and Surgery,Obstetric Anaesthesiology,1,1,1.0
303,2016,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,1,1,1.0
304,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,1,1,1.0
313,2016,Medicine and Surgery,Head And Neck Oncology Surgery,1,1,1.0
318,2017,Medicine and Surgery,Military Field Medicine,2,2,1.0
329,2017,Medicine and Surgery,Orthopedic Trauma Surgery,2,2,1.0
333,2021,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,1,1,1.0
339,2021,Medicine and Surgery,Adult Stem Cell Transplantation,1,1,1.0
341,2021,Unknown,Cardiac Electrophysiology & Pacing,1,1,1.0
342,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2,2,1.0
346,2016,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,2,2,1.0
353,2021,Medicine and Surgery,Breast And Gynecologic Pathology,1,1,1.0
358,2020,Medicine and Surgery,Thoracic Surgery,1,1,1.0
360,2017,Medicine and Surgery,Obstetric Anaesthesiology,2,2,1.0
361,2016,Medicine and Surgery,Breast And Gynecologic Pathology,2,2,1.0
366,2016,Medicine and Surgery,Clinical Neurophysiology,2,2,1.0
367,2016,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,2,2,1.0
369,2019,Medicine and Surgery,Pediatrics Emergency Medicine,52,51,0.98
371,2019,Medicine and Surgery,Pediatric Cardiology,32,31,0.97
373,2016,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,31,30,0.97
374,2019,Medicine and Surgery,Diabetes,46,44,0.96
375,2019,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,26,25,0.96
376,2018,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,25,24,0.96
377,2020,Medicine and Surgery,Palliative Medicine,27,26,0.96
378,2018,Medicine and Surgery,Adults Infectious Diseases,46,44,0.96
380,2019,Dentistry and Related Specialties,Endodontics,49,47,0.96
381,2018,Dentistry and Related Specialties,Endodontics,75,72,0.96
382,2017,Medicine and Surgery,Palliative Medicine,23,22,0.96
384,2017,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,24,23,0.96
387,2016,Dentistry and Related Specialties,Dental Implant,19,18,0.95
389,2021,Medicine and Surgery,Adults Infectious Diseases,20,19,0.95
390,2020,Medicine and Surgery,Adults Infectious Diseases,43,41,0.95
391,2019,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,19,18,0.95
393,2020,Medicine and Surgery,Pediatric Cardiology,21,20,0.95
394,2018,Medicine and Surgery,Cardiac Anesthesia,17,16,0.94
396,2016,Dentistry and Related Specialties,Endodontics,103,97,0.94
397,2017,Medicine and Surgery,Pediatric Surgery - Fellowship,16,15,0.94
398,2017,Medicine and Surgery,Vascular And Interventional Radiology,32,30,0.94
400,2018,Medicine and Surgery,Palliative Medicine,18,17,0.94
404,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,16,15,0.94
405,2017,Medicine and Surgery,Pediatric Gastroenterology,33,31,0.94
406,2016,Medicine and Surgery,Vascular And Interventional Radiology,33,31,0.94
413,2019,Medicine and Surgery,Adults Infectious Diseases,42,39,0.93
415,2018,Medicine and Surgery,Pediatric Cardiology,28,26,0.93
419,2020,Medicine and Surgery,Epilepsy & Electroencephalography,14,13,0.93
420,2017,Medicine and Surgery,Adults Infectious Diseases,59,55,0.93
422,2017,Dentistry and Related Specialties,Endodontics,106,99,0.93
424,2020,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,12,11,0.92
428,2020,Dentistry and Related Specialties,Pediatric Dentistry,13,12,0.92
429,2020,Medicine and Surgery,Vascular And Interventional Radiology,25,23,0.92
431,2019,Medicine and Surgery,Pediatric Gastroenterology,37,34,0.92
432,2016,Dentistry and Related Specialties,Restorative Dentistry,92,85,0.92
433,2016,Dentistry and Related Specialties,Periodontics,37,34,0.92
434,2019,Laboratories and Medical Technology,Saudi Diploma In Blood Banking And Transfusion,12,11,0.92
435,2018,Medicine and Surgery,Pediatrics Emergency Medicine,59,54,0.92
436,2016,Medicine and Surgery,Adults Endocrinology,133,122,0.92
439,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,13,12,0.92
443,2019,Medicine and Surgery,Pediatric Allergy And Immunology,12,11,0.92
446,2017,Medicine and Surgery,Community Medicine,99,90,0.91
449,2020,Medicine and Surgery,Emergency Medicine Diploma,11,10,0.91
452,2019,Medicine and Surgery,Adults Endocrinology,67,61,0.91
453,2017,Medicine and Surgery,Pediatric Cardiology,33,30,0.91
455,2017,Medicine and Surgery,Colon And Rectal Surgery,11,10,0.91
456,2016,Dentistry and Related Specialties,Pediatric Dentistry,54,49,0.91
457,2020,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics,23,21,0.91
458,2017,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics - 5 Years Track,11,10,0.91
459,2016,Medicine and Surgery,Adults Infectious Diseases,79,72,0.91
463,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,11,10,0.91
465,2019,Dentistry and Related Specialties,Dental Implant,11,10,0.91
468,2017,Medicine and Surgery,Pediatrics Intensive Care - 3 Years Track,10,9,0.9
469,2018,Medicine and Surgery,Rheumatology,42,38,0.9
470,2018,Medicine and Surgery,Diabetes,41,37,0.9
472,2016,Medicine and Surgery,Pediatrics Urology,10,9,0.9
473,2019,Dentistry and Related Specialties,Pediatric Dentistry,29,26,0.9
474,2018,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,20,18,0.9
481,2016,Dentistry and Related Specialties,Prosthodontics,40,36,0.9
482,2018,Medicine and Surgery,Perinatal Neonatal Medicine,41,37,0.9
484,2019,Medicine and Surgery,Oncology,20,18,0.9
485,2018,Medicine and Surgery,Colon And Rectal Surgery,10,9,0.9
486,2016,Medicine and Surgery,Diabetes,49,44,0.9
489,2019,Medicine and Surgery,Community Medicine,40,36,0.9
499,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases,9,8,0.89
502,2017,Medicine and Surgery,Maternal Fetal Medicine,19,17,0.89
504,2018,Medicine and Surgery,Pediatrics Nephrology,18,16,0.89
507,2018,Medicine and Surgery,Respiratory Medicine,35,31,0.89
510,2020,Medicine and Surgery,Pediatric Gastroenterology,28,25,0.89
511,2016,Medicine and Surgery,Community Medicine,126,112,0.89
514,2018,Dentistry and Related Specialties,Restorative Dentistry,101,90,0.89
515,2016,Medicine and Surgery,Pediatric Neurology,63,56,0.89
518,2017,Medicine and Surgery,Pediatric Neurology,56,49,0.88
519,2019,Medicine and Surgery,Perinatal Neonatal Medicine,41,36,0.88
521,2016,Medicine and Surgery,Respiratory Medicine,34,30,0.88
528,2018,Medicine and Surgery,Community Medicine,51,45,0.88
530,2017,Dentistry and Related Specialties,Restorative Dentistry,99,87,0.88
531,2017,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,26,23,0.88
532,2019,Medicine and Surgery,Rheumatology,34,30,0.88
533,2018,Medicine and Surgery,Maternal Fetal Medicine,16,14,0.88
537,2020,Medicine and Surgery,Pediatric Radiology,8,7,0.88
538,2019,Medicine and Surgery,Pediatric Surgery - Fellowship,16,14,0.88
540,2019,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,16,14,0.88
541,2019,Medicine and Surgery,Nephrology,34,30,0.88
546,2018,Medicine and Surgery,Pediatrics Intensive Care - 3 Years Track,15,13,0.87
548,2016,Medicine and Surgery,Pediatrics Intensive Care - 3 Years Track,15,13,0.87
549,2017,Medicine and Surgery,Respiratory Medicine,38,33,0.87
552,2019,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics,39,34,0.87
554,2018,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics,52,45,0.87
555,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,15,13,0.87
557,2016,Medicine and Surgery,Pediatric Surgery - Fellowship,14,12,0.86
559,2021,Medicine and Surgery,Vascular And Interventional Radiology,14,12,0.86
560,2019,Medicine and Surgery,Pain Medicine,14,12,0.86
562,2017,Dentistry and Related Specialties,Oral Maxillofacial Surgery,36,31,0.86
564,2016,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics,36,31,0.86
565,2016,Medicine and Surgery,Plastic And Reconstrucrive Surgery,44,38,0.86
568,2020,Medicine and Surgery,Adults Endocrinology,73,63,0.86
570,2017,Medicine and Surgery,Diabetes,49,42,0.86
571,2016,Medicine and Surgery,Rheumatology,65,56,0.86
572,2016,Medicine and Surgery,Pediatric Gastroenterology,37,32,0.86
573,2018,Medicine and Surgery,Pediatrics Intensive Care,7,6,0.86
574,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,7,6,0.86
577,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases,7,6,0.86
579,2018,Dentistry and Related Specialties,Pediatric Dentistry,43,37,0.86
582,2018,Medicine and Surgery,Adults Endocrinology,85,73,0.86
583,2016,Dentistry and Related Specialties,Oral Maxillofacial Surgery,42,36,0.86
584,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,7,6,0.86
590,2017,Medicine and Surgery,Adults Endocrinology,108,93,0.86
591,2017,Medicine and Surgery,Pediatrics Emergency Medicine,73,63,0.86
592,2020,Medicine and Surgery,Adult Interventional Cardiology,13,11,0.85
594,2016,Medicine and Surgery,Colon And Rectal Surgery,13,11,0.85
597,2017,Medicine and Surgery,Rheumatology,59,50,0.85
598,2017,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics,59,50,0.85
600,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology,13,11,0.85
601,2020,Medicine and Surgery,Diabetes,61,52,0.85
606,2017,Medicine and Surgery,Pediatrics Intensive Care,20,17,0.85
609,2018,Dentistry and Related Specialties,Oral Maxillofacial Surgery,26,22,0.85
611,2017,Unknown,Nuclear Medicine,13,11,0.85
612,2020,Medicine and Surgery,Gastroenterology,46,39,0.85
614,2018,Medicine and Surgery,Pediatric Hematology And Oncology,40,34,0.85
618,2019,Dentistry and Related Specialties,Restorative Dentistry,70,59,0.84
620,2017,Medicine and Surgery,Plastic And Reconstrucrive Surgery,32,27,0.84
622,2016,Medicine and Surgery,Pediatric Cardiology,32,27,0.84
624,2018,Medicine and Surgery,Pediatric Neurology,51,43,0.84
628,2016,Medicine and Surgery,Gastroenterology,82,69,0.84
636,2020,Medicine and Surgery,Vascular Neurology (Stroke),6,5,0.83
639,2017,Unknown,Cardiac Electrophysiology & Pacing,6,5,0.83
640,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,6,5,0.83
643,2017,Medicine and Surgery,Musculoskeletal Imaging,12,10,0.83
645,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases,6,5,0.83
646,2018,Medicine and Surgery,Dermatology,106,88,0.83
653,2016,Medicine and Surgery,Pediatric Orthopedic Surgery,6,5,0.83
657,2018,Medicine and Surgery,Adult Cardiology,52,43,0.83
658,2018,Medicine and Surgery,Gastroenterology,59,49,0.83
659,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,12,10,0.83
660,2019,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,12,10,0.83
662,2020,Medicine and Surgery,Pediatrics Emergency Medicine,64,53,0.83
663,2017,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,195,161,0.83
